product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
65,Иркутская,428,866,Напитки,Помогает поддерживать нормальный уровень сахара в крови.,2006-02-07,2008-10-05,4.98,Sold
66,Свекла,9065,689,Овощи,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2012-01-06,2016-05-02,3.89,New
67,Анапская,9303,771,Напитки,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",1997-04-04,2000-09-03,4.44,Available for Pickup
68,Вяленое мясо,5290,528,Мясо,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2016-06-11,2027-02-07,4.97,New
69,Мультиварка,9115,987,Товары для дома,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2021-04-04,2030-03-21,3.57,Temporarily Unavailable
70,Сэндвичи с ветчиной,9533,796,Мясо,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",2018-01-03,2024-01-14,3.54,Temporarily Unavailable
71,Инжир,8595,110,Фрукты,Помогает сохранять бодрость и активность в течение дня.,2007-01-23,2021-08-01,4.41,Returned
72,Эмменталь,607,825,Молочные продукты,Подходит для использования в диетических программах для похудения.,2005-04-01,2017-05-27,2.09,Awaiting Payment
73,Тостер,3056,117,Товары для дома,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",2004-03-02,2016-03-02,4.58,Temporarily Unavailable
74,Сливки,2685,93,Молочные продукты,Помогает сохранять бодрость и активность в течение дня.,2019-05-01,2020-01-10,2.95,Backorder
75,Белый шоколад,6502,849,Бакалея,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",2015-03-05,2029-01-05,1.75,Available for Pickup
76,Бритвенный станок,3349,771,Товары для дома,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",1998-04-11,2006-06-01,3.54,Temporarily Unavailable
77,Сметана,1634,626,Молочные продукты,Помогает укрепить иммунную систему и защитить организм от инфекций.,1990-07-02,2015-05-17,0.41,Delivered
78,Язык,2636,17,Мясо,"Помогает улучшить состояние волос, ногтей и кожи.",2015-01-07,2015-03-19,3.35,Cancelled
79,Лимон,7248,546,Фрукты,Является неотъемлемой частью рациона многих народов мира.,2019-01-17,2020-03-02,2.57,Refunded
80,Краснодарская,2220,399,Напитки,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2020-01-25,2024-11-21,3.28,Backorder
81,Тартар,3433,541,Мясо,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2014-08-13,2018-02-01,3.75,New
82,Томская,1081,115,Напитки,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2012-01-02,2017-05-03,2.69,Refunded
83,Burn,2907,591,Напитки,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",1995-12-04,2003-03-04,3.69,New
84,Инжир,3940,188,Фрукты,Способствует снижению уровня стресса и улучшению настроения.,2006-09-05,2020-05-01,0.17,New
85,Айва,3455,661,Фрукты,Идеален для перекусов между основными приемами пищи.,2003-01-07,2023-01-15,2.63,Delivered
86,Ройбос,3422,940,Напитки,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2009-01-01,2027-01-01,0.26,Temporarily Unavailable
87,Компот из сухофруктов,8535,282,Напитки,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2016-04-04,2021-09-01,3.97,Cancelled
88,Кострец,1481,956,Мясо,Способствует снижению уровня стресса и улучшению настроения.,2005-04-03,2027-01-02,1.3,Backorder
89,Пшено,396,809,Бакалея,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2001-06-06,2020-05-02,0.04,On Backorder
90,Имбирь молотый,1179,588,Бакалея,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2011-03-10,2024-02-21,3.44,On Backorder
91,Петрушка корневая,1727,776,Овощи,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",1993-03-01,2013-04-05,4.29,Available for Pickup
92,Мортаделла,9616,248,Мясо,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",2009-07-08,2026-01-19,3.46,New
93,Картофель,5026,421,Овощи,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",1998-01-12,2025-04-09,3.18,Refunded
94,Донат магний,313,723,Напитки,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",2015-08-03,2021-02-09,0.34,Refunded
95,Абрикос,8490,179,Фрукты,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",2010-03-03,2013-01-21,0.36,Delivered
96,Свекла,8353,206,Овощи,Помогает поддерживать нормальный уровень гемоглобина в крови.,2008-02-13,2009-01-01,0.67,Available for Pickup
97,Плавленые сырки,7176,310,Бакалея,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",2022-04-07,2025-01-23,1.08,Refunded
98,Lipton Ice Tea,5844,972,Напитки,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2008-01-01,2028-07-09,4.95,Refunded
99,Буузы,4782,429,Мясо,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2005-07-01,2028-05-12,2.69,Awaiting Payment
100,Одеяла,9775,7,Товары для дома,"Является источником важных нутриентов, необходимых для роста и развития детей.",2000-06-02,2017-02-06,3.4,Shipping
101,Каша из дробленной кускусовой крупы,5341,427,Бакалея,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2009-06-01,2018-07-03,4.05,Delivered
102,Гауда,3247,588,Молочные продукты,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,1993-02-02,2002-01-04,3.72,Sold
103,Компот из сухофруктов,1668,833,Напитки,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,2021-07-01,2029-06-05,3.56,Awaiting Payment
104,Perrier,1602,786,Напитки,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",2021-03-04,2022-02-03,3.98,In Stock
105,Кондиционер для волос,8843,580,Товары для дома,Помогает поддерживать здоровье глаз и зрение благодаря содержанию витамина A.,2014-04-09,2023-03-06,0.03,Returned
106,Энергетический напиток,5063,164,Напитки,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2004-01-23,2009-05-07,1.39,Cancelled
107,Кольраби,7822,356,Овощи,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",1999-08-08,2015-01-01,2.66,Temporarily Unavailable
108,Фейхоа,9933,418,Фрукты,Является важным компонентом сбалансированного рациона питания.,2007-02-08,2023-06-14,1.87,Refunded
109,Катык,5775,138,Молочные продукты,Отличается высокой питательностью и способен быстро утолить голод.,2006-02-21,2009-08-20,1.61,On Backorder
110,Каша из булгура,8519,715,Бакалея,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",1991-05-02,1992-03-02,4.01,New
111,Лимон,7633,154,Фрукты,Помогает поддерживать оптимальный вес и форму тела.,2014-03-06,2026-01-01,1.48,Returned
112,Мягкие игрушки,6562,851,Товары для дома,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",2001-10-10,2022-04-06,4.05,Pending
113,Тарелки мелкие,7548,13,Товары для дома,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2018-06-09,2028-03-08,4.81,Refunded
114,Каша из дробленной кукурузной крупы,549,542,Бакалея,Помогает поддерживать нормальную функцию щитовидной железы благодаря содержанию йода.,2002-06-23,2016-02-02,1.53,Returned
